job_id,job_role,company,experience,salary,location,rating,reviews,resposibilities,posted_on,job_link,company_link
151122607533.0,Business Sales Manager - Banca | Life Insurance- Jorhat,Lavya Associates,5-10 Yrs,"6,00,000 - 8,00,000 PA.",Jorhat,,,"Life Insurance,BFSI,Bancassurance,team handling,Channel Management,bank branches,sales,banking",6 Days Ago,https://www.naukri.com/job-listings-business-sales-manager-banca-life-insurance-jorhat-lavya-associates-jorhat-5-to-10-years-151122607533,https://www.naukri.com/lavya-associates-hr-services-jobs-careers-932996
301222005217.0,HR Manager 1,Emerald Paper Products,2-7 Yrs,"1,75,000 - 2,50,000 PA.",Hybrid - Mohanlalganj,,,"Human Resource Management,hr,monitoring,Recruitment",9 Days Ago,https://www.naukri.com/job-listings-hr-manager-1-emerald-paper-products-mohanlalganj-2-to-7-years-301222005217,https://www.naukri.com/emerald-paper-products-jobs-careers-123623999
20123500977.0,Executive- DevOps Engineer,Rahi,3-8 Yrs,Not disclosed,Pune,,,"Linux,Jenkins,web services,Gitlab,Puppet,DevOps,Stackdriver,Prometheus",5 Days Ago,https://www.naukri.com/job-listings-executive-devops-engineer-rahi-pune-3-to-8-years-020123500977,https://www.naukri.com/rahi-jobs-careers-123569911
50123004561.0,Operation Executive ( Females Only),Eduworld Bangalore Educational Services,1-6 Yrs,"1,25,000 - 2,50,000 PA.",Trivandrum/Thiruvananthapuram,,,"Team Management,Team Handling,Team Leading,Branch Handling,Operations Management",3 Days Ago,https://www.naukri.com/job-listings-operation-executive-females-only-eduworld-bangalore-educational-services-trivandrum-thiruvananthapuram-1-to-6-years-050123004561,https://www.naukri.com/eduworld-bangalore-educational-services-jobs-careers-2099404
70123500280.0,Product Owner - Arcadis Gen,Arcadis Consulting India Pvt. Ltd,4-7 Yrs,Not disclosed,"Noida, Mumbai",4.2,145 Reviews,"Product management,Sales,SAP,Performance management,Project management,Agile,Budgeting,Asset management",1 Day Ago,https://www.naukri.com/job-listings-product-owner-arcadis-gen-arcadis-consulting-india-pvt-ltd-noida-mumbai-4-to-7-years-070123500280,https://www.naukri.com/arcadis-jobs-careers-457491
291222004601.0,MIS Executives,Giva Giva A Unit Of Indiejewel Fashions,1-3 Yrs,"2,50,000 - 3,50,000 PA.",Bangalore/Bengaluru,,,"Excel,System Analysis,Programming",9 Days Ago,https://www.naukri.com/job-listings-mis-executives-giva-giva-a-unit-of-indiejewel-fashions-bangalore-bengaluru-1-to-3-years-291222004601,https://www.naukri.com/giva-a-unit-of-indiejewel-fashions-jobs-careers-6199442
30123007758.0,Service Delivery- Godrej Interio,Godrej & Boyce (G&B),2-7 Yrs,Not disclosed,"Kochi/Cochin, Chandigarh, Ghaziabad",3.9,4907 Reviews,"service delivery,working capital management,service quality,customer satisfaction,customer complaints",4 Days Ago,https://www.naukri.com/job-listings-service-delivery-godrej-interio-godrej-boyce-g-b-kochi-cochin-chandigarh-ghaziabad-2-to-7-years-030123007758,https://www.naukri.com/godrej-boyce-g-b-jobs-careers-476
60123908952.0,Project Coordinator - Jira,Appscrip,0-1 Yrs,Not disclosed,"Guwahati, Hyderabad/Secunderabad, Chennai, Jaipur, Bangalore/Bengaluru, Delhi / NCR, Haryana, Gujarat, Goa",4.0,11 Reviews,"Trello,Jira,Agile Development,communication,written,Agile,Project Management,Project Methodologies",1 Day Ago,https://www.naukri.com/job-listings-project-coordinator-jira-appscrip-guwahati-hyderabad-secunderabad-chennai-jaipur-bangalore-bengaluru-delhi-ncr-haryana-gujarat-goa-0-to-1-years-060123908952,https://www.naukri.com/appscrip-jobs-careers-3930644
50123911605.0,Senior Analyst - TSA NA Products,Shell,4-6 Yrs,Not disclosed,Chennai,4.4,1259 Reviews,"Financial Analysis,ERP,Accounting,Financial Planning,Accounts receivable,Accounts Payable",3 Days Ago,https://www.naukri.com/job-listings-senior-analyst-tsa-na-products-shell-india-markets-private-limited-chennai-4-to-6-years-050123911605,https://www.naukri.com/shell-jobs-careers-225665
40123009473.0,Executive FAT & Dispatch,Anish Pharma Equip Pvt Ltd,2-6 Yrs,Not disclosed,Nasik/Nashik,4.3,15 Reviews,"FAT,Service Engineering,FAT & Diapatch,Internal FAT,Customer FAT,Planning,MS Office,Coordination Skills",4 Days Ago,https://www.naukri.com/job-listings-executive-fat-dispatch-anish-pharma-equip-pvt-ltd-nasik-nashik-2-to-6-years-040123009473,https://www.naukri.com/anish-pharma-equip-jobs-careers-5512686
191122006484.0,Fresher Hiring- Delhi/NCR,Anirup Technologies,0-1 Yrs,"1,00,000 - 2,00,000 PA.",Noida,4.2,3 Reviews,"freshers,trainee,graduate,PPC,digital marketing trainee,Digital Marketing,B.Tech,Computer Skills",6 Days Ago,https://www.naukri.com/job-listings-fresher-hiring-delhi-ncr-anirup-technologies-noida-0-to-1-years-191122006484,https://www.naukri.com/anirup-technologies-jobs-careers-1308080
301222914652.0,Associate-Record To Report,Accenture,1-3 Yrs,Not disclosed,Mumbai,4.1,32129 Reviews,"Consulting,Forecasting,Operations,Analytics,Balance Sheet,Analytical skills,Journal entries,record to report",8 Days Ago,https://www.naukri.com/job-listings-associate-record-to-report-accenture-mumbai-1-to-3-years-301222914652,https://www.naukri.com/accenture-jobs-careers-7682
70123007134.0,IT Recruiter,Anika Technologies,2-4 Yrs,"3,75,000 - 6,00,000 PA.",Permanent Remote,,,"IT Recruitment,Bulk Hiring,Technical Recruitment,Recruitment,BPO Hiring,Hiring,Cold Calling,US IT Staffing",1 Day Ago,https://www.naukri.com/job-listings-it-recruiter-anika-technologies-bangalore-bengaluru-2-to-4-years-070123007134,https://www.naukri.com/anika-technologies-jobs-careers-3652242
60123006615.0,.Net Fullstack Developer,Citiustech,3-8 Yrs,"7,00,000 - 17,00,000 PA.","Hybrid - Pune, Bangalore/Bengaluru, Mumbai (All Areas)",4.0,742 Reviews,"c#,.net core,javascript,Microservices,Angular,CSS,Asp Net,ASP NET MVC",2 Days Ago,https://www.naukri.com/job-listings-net-fullstack-developer-citiustech-pune-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-060123006615,https://www.naukri.com/citiustech-jobs-careers-142075
291222005700.0,Tele Sales Executive || Female,City Car Care,1-5 Yrs,"50,000 - 3,00,000 PA.",Noida,,,"Telesales,Outbound Sales,calling,Telemarketing",10 Days Ago,https://www.naukri.com/job-listings-tele-sales-executive-female-city-car-care-noida-1-to-5-years-291222005700,https://www.naukri.com/city-car-care-jobs-careers-6864831
60123006368.0,Hiring-Java-Pune/Mumbai/Bangalore/Hyderabad/Chennai/Gurgaon/Noida,Citiustech,3-8 Yrs,Not disclosed,"Hybrid - Noida, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",4.0,742 Reviews,java,2 Days Ago,https://www.naukri.com/job-listings-hiring-java-pune-mumbai-bangalore-hyderabad-chennai-gurgaon-noida-citiustech-noida-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-3-to-8-years-060123006368,https://www.naukri.com/citiustech-jobs-careers-142075
301222913831.0,SAP ABAP Development For HANA Application Developer,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,4.1,32129 Reviews,"Business process,Compliance,Coding,SAP ABAP,Client management,Communication,SAP,HANA",8 Days Ago,https://www.naukri.com/job-listings-sap-abap-development-for-hana-application-developer-accenture-hyderabad-secunderabad-4-to-6-years-301222913831,https://www.naukri.com/accenture-jobs-careers-7682
301222912148.0,Package Consultant: Oracle Utilities,IBM,12-15 Yrs,Not disclosed,Pune,4.2,15180 Reviews,"Interpersonal skills,Production support,Consulting,Application development,Oracle,Version control,Time management,Creative designing",8 Days Ago,https://www.naukri.com/job-listings-package-consultant-oracle-utilities-ibm-pune-12-to-15-years-301222912148,https://www.naukri.com/ibm-jobs-careers-16987
311222004187.0,Electrical Helper job openings in Dubai | UAE | Gulf,Bagat International,0-5 Yrs,"4,00,000 - 5,00,000 PA.","Dubai, Chennai",,,"diploma electrical,Helper Activities,Utility Maintenance,Electrical Maintenance,Installation,Switchgear,Troubleshooting,LT Panels",8 Days Ago,https://www.naukri.com/job-listings-electrical-helper-openings-in-dubai-uae-gulf-bagat-international-chennai-dubai-0-to-5-years-311222004187,https://www.naukri.com/bagat-international-jobs-careers-123459409
111021003677.0,GST Executives For CA Office at Andheri,"DAKSM & CO LLP, CHARTERED ACCOUNTANTS",2-3 Yrs,"3,50,000 - 4,50,000 PA.","Mumbai Suburban, andheri",,,"Gst,gstr9c,gstr9",1 Day Ago,https://www.naukri.com/job-listings-gst-executives-for-ca-office-at-andheri-daksm-co-llp-chartered-accountants-mumbai-suburban-andheri-2-to-3-years-111021003677,https://www.naukri.com/d-a-k-s-m-co-chartered-accountants-jobs-careers-4364838
60123007341.0,Radiologist @ Trivandrum,Healthcare Consultancy,0-5 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram,,,"Radiology,USG",2 Days Ago,https://www.naukri.com/job-listings-radiologist-trivandrum-healthcare-consultancy-trivandrum-thiruvananthapuram-0-to-5-years-060123007341,https://www.naukri.com/healthcare-consultancy-jobs-careers-5848016
281122603644.0,Cluster Sales Manager-Agency | Life Insurance-Karjat,Lavya Associates,5-10 Yrs,"6,50,000 - 9,00,000 PA.",Karjat,,,"tied,agency channel,bfsi,agency,team handling,advisors,training,branch management",6 Days Ago,https://www.naukri.com/job-listings-cluster-sales-manager-agency-life-insurance-karjat-lavya-associates-karjat-5-to-10-years-281122603644,https://www.naukri.com/lavya-associates-hr-services-jobs-careers-932996
70123500989.0,People Planning Specialist,Ingka Centres,2-4 Yrs,Not disclosed,Hyderabad/Secunderabad,,,"Training,Finance,Legal,Scheduling,Forecasting,Recruitment",1 Day Ago,https://www.naukri.com/job-listings-people-planning-specialist-ingka-centres-holding-hyderabad-secunderabad-2-to-4-years-070123500989,https://www.naukri.com/ingka-centres-jobs-careers-123515855
121222601416.0,Training Manager | Life Insurance-Kumbakonam,Lavya Associates,3-8 Yrs,"6,00,000 - 8,00,000 PA.",Kumbakonam,,,"training development,partnership distribution,learning development,training,training manager,learning & development",6 Days Ago,https://www.naukri.com/job-listings-training-manager-life-insurance-kumbakonam-lavya-associates-kumbakonam-3-to-8-years-121222601416,https://www.naukri.com/lavya-associates-hr-services-jobs-careers-932996
291222500634.0,PHP Developer,Cord4 Technologies,2-7 Yrs,Not disclosed,Ahmedabad,1.5,2 Reviews,"OOPS concept,YII,CI,Core PHP,PHP Framework,MVC,Web technologies,Creative designing",10 Days Ago,https://www.naukri.com/job-listings-php-developer-cord4-technologies-ahmedabad-2-to-7-years-291222500634,https://www.naukri.com/cord4-technologies-jobs-careers-123482545
